Item Purchased,Image URL
Blouse,"https://images.hugoboss.com/is/image/boss/hbeu50490058_112_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&bgcolor=ebebeb&lastModified=1760195706000&wid=1200&hei=1818"
Sweater,https://image.hm.com/assets/hm/7b/5b/7b5b06eefbba7ec163db64d31e65ab7ab585fa12.jpg?imwidth=768
Jeans,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQUiBdLRiqZZZ3Rzkol2NMeOSGl79QOawgizVGM8LExJpU5zB33pZL2TPWc2-an4Xitxehq6psl2ag8DEUQ2V0w2Yu8NlAXxgKR4YCBsSG7SNj0rHPZMrXzapkdUAhyLmJBol9mKOUWCIg&usqp=CAc
Sandals,"https://media.landmarkshops.in/cdn-cgi/image/h=831,w=615,q=85,fit=cover/max-new/1000014233106-Yellow-GOLD-1000014233106_01-2100.jpg"
Sneakers,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRTXl0AUYcpxSSxmvPq4Jef8PLZPifMHVq7aUZcWNqLAfZpYaXmZqj5iq4oSU1SiHyPUYleT8vFUNTxLYgxgPM4kOsrLUrJSPp3dWwrmzqEeLzug_rBmix7GK_CzBhfEG5OIfwTQ0xBvw&usqp=CAc
Shirt,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSkP_QYk-u-Tt_f07RZGpyBx8kw5AmZxzyPQZeQVj1gfexmY5kVZJ1gfxJ90ELypPvOVogjwMMYW50SkjSY7SRHjNsWjicxoqD2g28uhYqxP7h0rFeXI4gqhq_HucaKjEvPUDhaKjA&usqp=CAc
Shorts,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMjhDTDd9QIUcmx49wqSPFaeuFlJjjqaiTDQ&s
Coat,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRdUpnR6xLtU-cNkXr2bA2aPY-P7didWc7z77Ouj4kg2azoU8JFmVeeELbFkGfJaGZEgf9VfLbcGmTNxAB-keo8x2x79wutuwLUjOH_Icc3ta2Ol-aGkwzGx-ifkVUaxOjoYbSIkLlZgA&usqp=CAc
Handbag,https://zouk.co.in/cdn/shop/files/Classic_Handbag_1_b91bd121-c4a9-4c4f-92f9-24a1ce8bfb0d.jpg?v=1742408387&width=800
Shoes,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ8yUnVfoQ_iatJsVbTIwzywpoZwmQS0ijM1Gf-rRXpOS-lUha_plGVaf2hW6tZ4P7QFPlXdArUUSd-SUwnLcn_vPl1iCN92W-nMCdR_3mgLTftnNmBWUBl
Dress,https://littleboxindia.com/cdn/shop/files/Tie_Shoulder_Layered_Ruched_Cami_Dress_In_Pink.jpg?v=1754569211
